ui_first_person_field_of_view|Zorné pole (1. osoba)
ui_data_file_mismatch|Soubory vašeho modulu jsou poškozené nebo byly pozměněny
ui_randomize_client_port|Náhodný port klienta (doporučeno, pokud nejste za firewallem)
ui_client_port|Port klienta
ui_server_port|Port serveru
ui_unable_to_bind_socket|Nelze se připojit, port je již používán.
ui_synchronization_error|Chyba synchronizace
ui_dismount_horse_on_use|Sesednout z koně při použití
ui_maximum_game_frame_rate|Maximální snímková frekvence hry
ui_autoexp|Automatická expozice
ui_ragdoll_soak|Lze zasáhnout ragdoll mrtvoly
ui_ragdoll_soak_apply_force|Ragdoll mrtvoly se pohnou při zásahu
ui_vsync_tooltip|Zabraňuje trhání obrazu, může způsobit zpoždění vstupu\n\nNáročnost na výkon: <c=0xFF0000>Vysoká</c>
ui_msaa_tooltip|Vyhlazuje zubaté hrany pevných objektů\n\nNáročnost na výkon: <c=0xFF0000>Vysoká</c>
ui_atoc_tooltip|Vyhlazuje zubaté hrany poloprůhledných objektů\n\nNáročnost na výkon: <c=0x00FF00>Nízká</c>
ui_fxaa_tooltip|Vyhlazuje zubaté hrany, výrazně rozmazává obraz\n\nNáročnost na výkon: <c=0xFFAA00>Střední</c>
ui_anisotropic_filtering_tooltip|Snižuje rozmazání vzdálených povrchů\n\nNáročnost na výkon: <c=0xFFAA00>Střední</c>
ui_sound_occlusion_tooltip|Napodobuje vnímání zvuků v uzavřených prostorech, tedy tam, kde jsou překážky blízko zdroje zvuku nebo posluchače\n\nNáročnost na výkon: <c=0xFF0000>Vysoká</c>
ui_show_render_stats_wse2_tooltip|Zobrazuje počítadla rendereru na snímek: vykreslovací volání, viditelné objekty, skinning na CPU a GPU, stíny a časy vláken\n\nNáročnost na výkon: <c=0x00FF00>Nízká</c>
ui_show_simulation_stats_wse2_tooltip|Zobrazuje, kam jde krok simulace: fyzika, agenti, AI, spouštěče, scéna, síť a volání skriptů\n\nNáročnost na výkon: <c=0x00FF00>Nízká</c>
ui_update_wse2_version|Prosím aktualizujte svou verzi WSE2, jinak budete vyhozen z tohoto serveru.
ui_server_for_wse2_campaign|Tento server je pro online kampaň na WSE2. Prosím spusťte WSE2 a zvolte „Připojit se ke kampani".
ui_server_for_standart_game_modes|Tento server je pro standardní herní režimy, prosím zvolte „Připojit se ke hře".
ui_enable_cheats_wse2|Povolit cheaty
ui_enable_edit_mode_wse2|Povolit režim úprav (Pozor: zpomaluje hru.)
ui_language_wse2|Jazyk:
ui_ondemand_textures_wse2|Načítat textury na vyžádání
ui_map_editor|Editor map
ui_terrain_editor|Editor terénu
ui_debug|Debug
ui_restore_module_data|Obnovit data modulu
ui_reload_ui_variables|Znovu načíst proměnné UI
ui_set_lod_quality|Nastavit kvalitu LOD
ui_auto|Automaticky
ui_freeze|Zmrazit
ui_create_language_template|Vytvořit jazykovou šablonu
ui_mark_nontranslated_lines|Označit nepřeložené řádky
ui_create_language_template_required_game|Vytvořte novou hru nebo obnovte hru před použitím této funkce!
ui_create_language_template_generated|Soubory jazykové šablony byly vygenerovány v adresáři new_language!
ui_create_language_template_generated_marked|Soubory jazykové šablony byly vygenerovány v adresáři new_language! Nepřeložené texty jsou označeny značkou {***}. Můžete ji použít jako klíčové slovo pro vyhledávání.
ui_join_campaign|Připojit se ke kampani
ui_custom_key_1|
ui_custom_key_2|
ui_custom_key_3|
ui_custom_key_4|
ui_custom_key_5|
ui_custom_key_6|
ui_custom_key_7|
ui_custom_key_8|
ui_custom_key_9|
ui_custom_key_10|
ui_custom_key_11|
ui_custom_key_12|
ui_custom_key_13|
ui_custom_key_14|
ui_custom_key_15|
ui_custom_key_16|
ui_custom_key_17|
ui_custom_key_18|
ui_custom_key_19|
ui_custom_key_20|
