ui_first_person_field_of_view|Görüş Alanı (1. Şahıs)
ui_own_kills_and_player_deaths|Öldürmeler ve oyuncu ölümleri
ui_sun_flare|Güneş Parlaması
ui_enable_alt_f4|Alt+F4 ile Çıkışı Etkinleştir
ui_invert_mouse_x_axis|Fare X Eksenini Ters Çevir
ui_enable_sound|Sesi Etkinleştir
ui_enable_music|Müziği Etkinleştir
ui_toggle_background|Arka Plan
ui_font_scale|Yazı Tipi Ölçeği
ui_messages_font_scale|Mesaj Yazı Tipi Ölçeği
ui_spectator_camera_controls|Seyirci Kamerası Kontrolleri
ui_faster_camera|Daha Hızlı Kamera Hareketi
ui_slower_camera|Daha Yavaş Kamera Hareketi
ui_camera_closer|Kamerayı Yaklaştır
ui_camera_farther|Kamerayı Uzaklaştır
ui_particle_degrade_distance|Parçacık Sistemi Bozulma Mesafesi
ui_sheath_primary_weapon|Silahı Kına Koy
ui_sheath_secondary_weapon|Kalkanı Kına Koy
ui_drop_primary_weapon|Silahı Bırak
ui_drop_secondary_weapon|Kalkanı Bırak
ui_screenshot_format|Ekran Görüntüsü Formatı
ui_control_block_direction|Savunma Kontrolü:
ui_control_block_direction_mounted|Atlı Savunma Kontrolü:
ui_control_attack_direction|Saldırı Kontrolü:
ui_control_attack_direction_mounted|Atlı Saldırı Kontrolü:
ui_preset_change|Hazır Ayar Değişikliği
ui_blood_amount|Kan Miktarı
ui_beta|β
ui_partial|Kısmi
ui_data_file_mismatch|Modül dosyalarınız bozuk veya kurcalanmış
ui_randomize_client_port|İstemci Portunu Rastgele Belirle (güvenlik duvarı arkasında değilseniz önerilir)
ui_client_port|İstemci Portu
ui_server_port|Dinleme Sunucusu Portu
ui_unable_to_bind_socket|Bağlanılamıyor, port zaten kullanımda.
ui_synchronization_error|Senkronizasyon hatası
ui_dismount_horse_on_use|Kullanımda Attan İn
ui_maximum_game_frame_rate|Maksimum Oyun Kare Hızı
ui_autoexp|Otomatik Pozlama
ui_ragdoll_soak|Ceset ragdoll'larına vurulabilir
ui_ragdoll_soak_apply_force|Ceset ragdoll'ları vurulunca hareket eder
ui_vsync_tooltip|Ekran yırtılmasını önler, giriş gecikmesine yol açabilir\n\nPerformans Maliyeti: <c=0xFF0000>Yüksek</c>
ui_msaa_tooltip|Katı nesnelerdeki pürüzlü kenarları yumuşatır\n\nPerformans Maliyeti: <c=0xFF0000>Yüksek</c>
ui_atoc_tooltip|Yarı saydam nesnelerdeki pürüzlü kenarları yumuşatır\n\nPerformans Maliyeti: <c=0x00FF00>Düşük</c>
ui_fxaa_tooltip|Pürüzlü kenarları yumuşatır, ekranı belirgin şekilde bulanıklaştırır\n\nPerformans Maliyeti: <c=0xFFAA00>Orta</c>
ui_anisotropic_filtering_tooltip|Uzak yüzeylerdeki bulanıklığı azaltır\n\nPerformans Maliyeti: <c=0xFFAA00>Orta</c>
ui_show_render_stats_wse2_tooltip|Kare başına render sayacını gösterir: çizim çağrıları, görünür nesneler, CPU ve GPU skinning, gölgeler ve iş parçacığı süreleri\n\nPerformans Maliyeti: <c=0x00FF00>Düşük</c>
ui_show_simulation_stats_wse2_tooltip|Bir simülasyon adımının nereye gittiğini gösterir: fizik, ajanlar, YZ, tetikleyiciler, sahne, ağ ve betik çağrıları\n\nPerformans Maliyeti: <c=0x00FF00>Düşük</c>
ui_sound_occlusion_tooltip|Seslerin "kapalı" ortamlarda nasıl algılandığını taklit eder; kapalı, ses kaynağına veya dinleyiciye yakın engellerin bulunduğu anlamına gelir\n\nPerformans Maliyeti: <c=0xFF0000>Yüksek</c>
ui_update_wse2_version|Lütfen WSE2 sürümünüzü güncelleyin, aksi takdirde bu sunucudan atılacaksınız.
ui_server_for_wse2_campaign|Bu sunucu WSE2 üzerinde bir çevrimiçi sefer içindir, lütfen WSE2'yi başlatın ve "Bir Sefere Katıl"ı seçin.
ui_server_for_standart_game_modes|Bu sunucu standart oyun modları içindir, lütfen "Bir Oyuna Katıl"ı seçin.
ui_enable_cheats_wse2|Hileleri Etkinleştir
ui_enable_edit_mode_wse2|Düzenleme Modunu Etkinleştir (Uyarı: bu oyunu yavaşlatır.)
ui_language_wse2|Dil:
ui_ondemand_textures_wse2|Dokuları İsteğe Bağlı Yükle
ui_map_editor|Harita editörü
ui_terrain_editor|Arazi editörü
ui_debug|Hata ayıklama
ui_restore_module_data|Modül verilerini geri yükle
ui_reload_ui_variables|Arayüz değişkenlerini yeniden yükle
ui_set_lod_quality|LOD kalitesini ayarla
ui_auto|Otomatik
ui_freeze|Dondur
ui_create_language_template|Dil Şablonu Oluştur
ui_mark_nontranslated_lines|Çevrilmemiş Satırları İşaretle
ui_create_language_template_required_game|Bu işlevi kullanmadan önce yeni bir oyun oluşturun veya bir oyunu geri yükleyin!
ui_create_language_template_generated|Dil Şablonu Dosyaları new_language dizini altında oluşturuldu!
ui_create_language_template_generated_marked|Dil Şablonu Dosyaları new_language dizini altında oluşturuldu! Çevrilmemiş metinler {***} işaretiyle belirtilmiştir. Bunu arama anahtar kelimesi olarak kullanabilirsiniz.
ui_join_campaign|Bir Sefere Katıl
ui_custom_key_1|
ui_custom_key_2|
ui_custom_key_3|
ui_custom_key_4|
ui_custom_key_5|
ui_custom_key_6|
ui_custom_key_7|
ui_custom_key_8|
ui_custom_key_9|
ui_custom_key_10|
ui_custom_key_11|
ui_custom_key_12|
ui_custom_key_13|
ui_custom_key_14|
ui_custom_key_15|
ui_custom_key_16|
ui_custom_key_17|
ui_custom_key_18|
ui_custom_key_19|
ui_custom_key_20|
